Topics,Perplexity,Decrease
10,224.81815939890956,0
11,218.5927853985748,2.769070797919255
12,214.68401137410373,1.7881532628553725
13,207.88953660141894,3.164872283313585
14,200.87869020954838,3.372390215728975
15,198.2404639787055,1.3133430072103718
16,194.33860536403944,1.9682452998521944
17,188.6343682890233,2.935205315655538
18,185.0995330337792,1.8739083907700596
19,182.615169988555,1.3421768302196757
20,178.1002955468858,2.4723435856682476
21,175.52680348263982,1.4449678796678345
22,174.64664671779997,0.5014372434161621
23,169.00437683447117,3.2306774789932073
24,166.74043472889122,1.3395760204467022
25,164.36671142860422,1.4236038811740608
26,161.15802868457803,1.9521487752220092
27,158.3498849401119,1.7424783409098914
28,157.09204392090047,0.7943428690757542
29,153.47478298254273,2.302637898186051
30,150.02217044603978,2.2496285509624587
31,149.56243349463682,0.3064460073041793
32,148.09771964125926,0.9793327235679699
33,144.30514635102358,2.560858667792133
34,142.78432786952916,1.0538906753852086
35,141.81320391737322,0.6801334338621007
