Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,1,0.768225,1(0.768225) 8(0.144786) 4(0.058409) 2(0.019782) 9(0.004605) 11(0.001977) 7(0.000542) 0(0.000487) 6(0.000485) 5(0.000351) 10(0.000282) 3(0.000069)
56496643,10,0.754496,10(0.754496) 0(0.221983) 2(0.020052) 4(0.001519) 3(0.000461) 11(0.000420) 7(0.000328) 8(0.000269) 9(0.000179) 5(0.000161) 6(0.000077) 1(0.000054)
56505189,2,0.539280,2(0.539280) 4(0.259973) 1(0.166351) 0(0.029801) 7(0.001577) 11(0.001204) 8(0.000568) 9(0.000544) 5(0.000265) 10(0.000238) 6(0.000132) 3(0.000068)
56505224,2,0.722185,2(0.722185) 1(0.125401) 8(0.101196) 10(0.041035) 11(0.008142) 4(0.001218) 9(0.000257) 7(0.000216) 5(0.000161) 0(0.000113) 6(0.000054) 3(0.000020)
56522258,2,0.580115,2(0.580115) 1(0.176238) 4(0.125347) 8(0.113399) 9(0.001740) 11(0.001368) 7(0.000812) 10(0.000385) 5(0.000262) 6(0.000173) 0(0.000123) 3(0.000038)
56522391,2,0.780973,2(0.780973) 1(0.153056) 10(0.060464) 11(0.004810) 8(0.000152) 9(0.000141) 7(0.000119) 4(0.000111) 5(0.000091) 0(0.000043) 6(0.000025) 3(0.000013)
56529189,6,0.359031,6(0.359031) 10(0.243548) 2(0.134596) 1(0.105522) 11(0.086315) 8(0.069255) 9(0.000917) 3(0.000276) 4(0.000164) 5(0.000156) 7(0.000153) 0(0.000068)
56548040,2,0.393260,2(0.393260) 8(0.211385) 1(0.150642) 10(0.083560) 9(0.080781) 11(0.046392) 4(0.027855) 6(0.005003) 0(0.000359) 3(0.000330) 5(0.000269) 7(0.000165)
56548508,4,0.372939,4(0.372939) 7(0.302362) 9(0.132068) 2(0.098597) 8(0.062930) 11(0.027167) 10(0.001697) 6(0.001023) 5(0.000518) 1(0.000295) 0(0.000260) 3(0.000145)
56551108,2,0.476442,2(0.476442) 5(0.461027) 10(0.054402) 7(0.002802) 0(0.001178) 4(0.001056) 3(0.000947) 6(0.000750) 9(0.000531) 11(0.000486) 8(0.000220) 1(0.000159)
