Post_ID,Dominant_Topic,Topic_Proportion,Topics
56462348,9,0.768151,9(0.768151) 2(0.204363) 13(0.022337) 5(0.001456) 12(0.000628) 3(0.000491) 10(0.000452) 8(0.000443) 11(0.000355) 0(0.000312) 6(0.000260) 4(0.000253) 7(0.000240) 1(0.000175) 14(0.000084)
56496643,1,0.300447,1(0.300447) 7(0.280824) 3(0.184592) 14(0.120219) 13(0.057353) 4(0.046332) 6(0.007743) 12(0.000839) 5(0.000832) 9(0.000257) 11(0.000239) 10(0.000137) 2(0.000130) 8(0.000032) 0(0.000025)
56505189,2,0.382446,2(0.382446) 13(0.221950) 9(0.199642) 12(0.127449) 3(0.065650) 5(0.001515) 10(0.000315) 6(0.000300) 4(0.000198) 8(0.000135) 0(0.000122) 11(0.000096) 7(0.000083) 1(0.000078) 14(0.000021)
56505224,2,0.706174,2(0.706174) 9(0.158733) 6(0.086591) 12(0.047251) 3(0.000250) 13(0.000232) 5(0.000183) 0(0.000159) 10(0.000108) 4(0.000097) 1(0.000079) 11(0.000064) 8(0.000059) 7(0.000016) 14(0.000005)
56522258,9,0.500859,9(0.500859) 2(0.261740) 12(0.138840) 13(0.092807) 5(0.001845) 10(0.001272) 6(0.001049) 8(0.000430) 1(0.000351) 4(0.000198) 11(0.000173) 3(0.000164) 14(0.000096) 7(0.000089) 0(0.000087)
56522391,2,0.705462,2(0.705462) 9(0.195674) 6(0.098087) 13(0.000143) 3(0.000119) 11(0.000114) 10(0.000084) 1(0.000068) 5(0.000062) 4(0.000057) 8(0.000036) 7(0.000034) 12(0.000032) 0(0.000020) 14(0.000010)
56529189,1,0.391901,1(0.391901) 0(0.282381) 9(0.142700) 6(0.126278) 13(0.037675) 2(0.015164) 11(0.001636) 4(0.000468) 10(0.000445) 8(0.000332) 5(0.000293) 7(0.000283) 12(0.000232) 14(0.000146) 3(0.000067)
56548040,9,0.480662,9(0.480662) 12(0.212012) 8(0.164738) 0(0.108842) 11(0.027072) 2(0.001518) 6(0.001024) 1(0.000900) 13(0.000883) 5(0.000648) 4(0.000609) 7(0.000436) 3(0.000263) 14(0.000255) 10(0.000138)
56548508,12,0.443313,12(0.443313) 10(0.246171) 8(0.159424) 2(0.138363) 5(0.003788) 6(0.003648) 0(0.002021) 13(0.000978) 3(0.000791) 11(0.000422) 4(0.000412) 1(0.000313) 7(0.000154) 14(0.000120) 9(0.000083)
56551108,2,0.471340,2(0.471340) 11(0.394307) 13(0.057265) 1(0.054664) 3(0.008387) 10(0.007803) 8(0.001894) 5(0.001282) 9(0.001165) 14(0.000703) 6(0.000366) 7(0.000361) 0(0.000312) 12(0.000092) 4(0.000059)
56551131,6,0.403482,6(0.403482) 1(0.307267) 13(0.182526) 12(0.090499) 3(0.012686) 14(0.000959) 9(0.000889) 7(0.000457) 5(0.000383) 4(0.000349) 0(0.000219) 10(0.000105) 11(0.000071) 8(0.000060) 2(0.000047)
56551175,2,0.776314,2(0.776314) 9(0.115712) 6(0.107085) 13(0.000155) 3(0.000136) 11(0.000126) 10(0.000098) 1(0.000079) 5(0.000067) 8(0.000059) 4(0.000053) 12(0.000047) 7(0.000027) 14(0.000024) 0(0.000018)
56551323,6,0.771392,6(0.771392) 8(0.137577) 10(0.087091) 7(0.001427) 13(0.001183) 12(0.000232) 1(0.000211) 11(0.000182) 4(0.000123) 14(0.000115) 3(0.000112) 5(0.000105) 9(0.000095) 2(0.000084) 0(0.000072)
56552993,12,0.501046,12(0.501046) 14(0.238857) 4(0.132263) 1(0.088677) 9(0.036479) 6(0.001214) 7(0.000658) 3(0.000396) 10(0.000090) 13(0.000066) 0(0.000066) 5(0.000054) 2(0.000047) 8(0.000043) 11(0.000043)
56570134,13,0.505550,13(0.505550) 7(0.269099) 8(0.103044) 4(0.043823) 3(0.035329) 5(0.030782) 11(0.006880) 2(0.003133) 1(0.000792) 0(0.000456) 6(0.000381) 10(0.000244) 14(0.000200) 9(0.000184) 12(0.000102)
56571316,13,0.584578,13(0.584578) 9(0.144090) 5(0.106788) 7(0.092639) 12(0.039182) 8(0.030412) 10(0.000501) 4(0.000447) 3(0.000323) 11(0.000237) 6(0.000232) 2(0.000209) 1(0.000189) 14(0.000120) 0(0.000052)
56579501,2,0.263591,2(0.263591) 12(0.251200) 9(0.205884) 14(0.157661) 0(0.078903) 8(0.039949) 13(0.000682) 4(0.000500) 10(0.000414) 5(0.000405) 3(0.000254) 1(0.000201) 6(0.000158) 11(0.000106) 7(0.000093)
56601592,12,0.390813,12(0.390813) 13(0.355525) 1(0.164807) 9(0.069107) 3(0.012862) 8(0.001689) 14(0.001290) 6(0.001125) 7(0.000925) 4(0.000639) 2(0.000360) 11(0.000313) 5(0.000229) 10(0.000190) 0(0.000126)
56601729,12,0.683904,12(0.683904) 5(0.142383) 3(0.095041) 8(0.076382) 10(0.000668) 13(0.000641) 14(0.000373) 4(0.000250) 1(0.000164) 7(0.000072) 9(0.000059) 0(0.000037) 11(0.000026) 2(0.000000) 6(0.000000)
56611057,12,0.562145,12(0.562145) 13(0.235964) 2(0.111984) 5(0.084594) 10(0.001462) 11(0.001281) 3(0.000830) 14(0.000375) 7(0.000289) 9(0.000277) 8(0.000240) 4(0.000172) 6(0.000165) 1(0.000149) 0(0.000073)
56612756,12,0.668360,12(0.668360) 14(0.163947) 4(0.144864) 1(0.016122) 13(0.002566) 7(0.001310) 3(0.001127) 6(0.000554) 0(0.000466) 11(0.000315) 5(0.000130) 9(0.000090) 10(0.000063) 2(0.000050) 8(0.000037)
56613622,3,0.366882,3(0.366882) 0(0.270190) 1(0.161661) 12(0.126324) 2(0.070093) 14(0.001103) 7(0.001021) 11(0.001015) 10(0.000381) 6(0.000355) 8(0.000347) 4(0.000264) 9(0.000147) 5(0.000143) 13(0.000074)
56622860,9,0.520261,9(0.520261) 2(0.317195) 12(0.080921) 0(0.080407) 11(0.000252) 13(0.000174) 3(0.000160) 5(0.000158) 4(0.000145) 10(0.000079) 14(0.000065) 7(0.000061) 8(0.000059) 6(0.000039) 1(0.000023)
56638991,9,0.554787,9(0.554787) 2(0.358760) 0(0.080818) 6(0.002289) 1(0.001174) 14(0.000618) 4(0.000273) 13(0.000250) 10(0.000206) 5(0.000182) 11(0.000175) 3(0.000155) 7(0.000148) 8(0.000146) 12(0.000018)
56657106,2,0.439948,2(0.439948) 5(0.234664) 10(0.170938) 13(0.044257) 8(0.038267) 12(0.036019) 9(0.034342) 4(0.000457) 11(0.000350) 14(0.000250) 3(0.000166) 1(0.000137) 7(0.000096) 6(0.000064) 0(0.000047)
56657168,2,0.768934,2(0.768934) 12(0.132852) 8(0.079512) 7(0.004778) 11(0.003664) 6(0.002712) 10(0.001697) 13(0.001646) 5(0.001236) 0(0.001099) 1(0.000928) 3(0.000330) 14(0.000300) 9(0.000248) 4(0.000064)
56677669,8,0.560833,8(0.560833) 11(0.361309) 0(0.074744) 10(0.001419) 13(0.000360) 2(0.000261) 6(0.000244) 5(0.000234) 3(0.000132) 1(0.000125) 4(0.000117) 7(0.000114) 14(0.000062) 12(0.000045) 9(0.000000)
56686026,6,0.997191,6(0.997191) 7(0.000698) 13(0.000298) 1(0.000276) 11(0.000267) 0(0.000246) 12(0.000192) 4(0.000183) 2(0.000128) 10(0.000128) 5(0.000122) 3(0.000106) 8(0.000087) 9(0.000045) 14(0.000034)
56689905,12,0.498689,12(0.498689) 13(0.257634) 10(0.213580) 2(0.011941) 5(0.004338) 4(0.004211) 11(0.001973) 3(0.001602) 14(0.001464) 8(0.001213) 6(0.001101) 7(0.000904) 1(0.000806) 9(0.000423) 0(0.000121)
56691371,13,0.532454,13(0.532454) 12(0.179798) 8(0.134844) 10(0.066050) 6(0.056043) 4(0.028550) 7(0.000489) 11(0.000409) 3(0.000392) 5(0.000310) 0(0.000254) 1(0.000158) 14(0.000129) 2(0.000065) 9(0.000053)
56717392,3,0.403726,3(0.403726) 9(0.317101) 2(0.218462) 11(0.054450) 13(0.002758) 10(0.000888) 14(0.000627) 7(0.000363) 4(0.000271) 5(0.000267) 1(0.000265) 12(0.000234) 0(0.000213) 8(0.000213) 6(0.000164)
56717393,13,0.249356,13(0.249356) 2(0.236691) 3(0.205153) 10(0.183358) 9(0.070309) 0(0.051550) 12(0.001407) 11(0.000774) 8(0.000516) 6(0.000211) 4(0.000179) 5(0.000176) 14(0.000120) 1(0.000100) 7(0.000099)
